,player_name,yr_numerical,conf,TS_per,bpm,drafted
2171,Brandon Austin,4.0,SC,53.61,-3.87267,0
2172,Brandon Averette,4.0,WCC,53.86,3.20688,0
2173,Brandon Ayers,2.0,SB,43.62,-5.85595,0
2174,Brandon Bailey,1.0,MEAC,55.6,-6.92994,0
2175,Brandon Baker,4.0,OVC,64.4,6.72554,0
2176,Brandon Barnes,4.0,WAC,50.31,-1.89735,0
2177,Brandon Battle,4.0,SWAC,49.63,-7.76974,0
2178,Brandon Baylor,3.0,MEAC,28.57,-12.9456,0
2179,Brandon Better,4.0,BSky,52.18,-3.66667,0
2180,Brandon Boggs,4.0,SC,53.47,-1.35502,0
2181,Brandon Bolden,4.0,SWAC,68.84,-2.98472,0
2182,Brandon Bolen,4.0,SEC,50.85,-13.3206,0
2183,Brandon Bos,4.0,Sum,48.72,-2.88981,0
2184,Brandon Boston Jr.,1.0,SEC,44.72,2.94344,1
2185,Brandon Bowdry,4.0,MAC,52.47,1.23407,0
2186,Brandon Boyd,4.0,WAC,52.28,-3.11343,0
2187,Brandon Bradsher,4.0,Pat,62.67,-1.21352,0
2188,Brandon Brady,4.0,SB,47.66,-4.67003,0
2189,Brandon Brekke,3.0,BSky,52.38,-8.74684,0
2190,Brandon Britt,4.0,CAA,62.32,-0.89778,0
2191,Brandon Brooks,4.0,SWAC,59.55,1.84946,0
2192,Brandon Brown,4.0,WAC,59.94,-6.29821,0
2193,Brandon Bryant,2.0,MEAC,48.62,-4.80609,0
2194,Brandon Burnett,4.0,MVC,37.86,-5.05862,0
2195,Brandon Bush,4.0,Slnd,58.05,0.648638,0
2196,Brandon Busuttil,3.0,MAC,33.33,-8.40956,0
2197,Brandon Carroll,2.0,NEC,42.83,0.252595,0
2198,Brandon Cataldo,4.0,BSky,42.25,-9.60693,0
2199,Brandon Chambers,1.0,ASun,45.09,-10.5138,0
2200,Brandon Chauca,1.0,P12,53.16,-4.94891,0
2201,Brandon Childress,4.0,ACC,53.85,3.31025,0
2202,Brandon Clark,4.0,WCC,48.24,1.21944,0
2203,Brandon Clarke,2.0,MWC,58.72,8.73787,1
2204,Brandon Conley,4.0,Sum,57.03,-0.0817216,0
2205,Brandon Costner,3.0,ACC,57.6,5.04308,0
2206,Brandon Crawford,4.0,BSth,49.16,-6.55588,0
2207,Brandon Cutler,2.0,Slnd,42.51,-5.12567,0
2208,Brandon Cyrus,4.0,BW,56.68,1.77743,0
2209,Brandon Davies,4.0,WCC,56.6,6.07682,0
2210,Brandon Davis,4.0,SB,61.64,2.91222,0
2211,Brandon Dawson,3.0,ASun,47.22,-11.7901,0
2212,Brandon Dison,4.0,SB,33.9,-2.61403,0
2213,Brandon Dorsett,2.0,SWAC,45.22,-7.94277,0
2214,Brandon Dowdy,4.0,BW,41.72,-0.196134,0
2215,Brandon Dunson,3.0,P10,49.29,-4.18919,0
2216,Brandon Durham,2.0,ind,48.78,-3.80562,0
2217,Brandon Eddlestone,4.0,SEC,56.6,-1.63363,0
2218,Brandon Edwards,4.0,SB,61.87,4.82357,0
2219,Brandon Ellis,4.0,SWAC,50.63,-3.90675,0
2220,Brandon Evans,4.0,SC,61.28,3.26459,0
2221,Brandon Ewing,4.0,MWC,60.25,3.52474,0
2222,Brandon Fields,4.0,WAC,53.21,1.99695,0
2223,Brandon Ford,4.0,MAC,48.43,-7.90992,0
2224,Brandon Fortenberry,4.0,Slnd,51.27,1.94262,0
2225,Brandon Frazier,4.0,A10,51.35,1.03597,0
2226,Brandon Garrett,4.0,OVC,62.52,0.529463,0
2227,Brandon Gfeller,4.0,BSky,52.7,-2.11891,0
2228,Brandon Gibson,4.0,WAC,47.07,0.00604601,0
2229,Brandon Gilbeck,4.0,Sum,55.58,2.45714,0
2230,Brandon Giles,4.0,SC,49.93,-1.07979,0
2231,Brandon Glanz,1.0,BSky,33.67,-13.3904,0
2232,Brandon Goldsmith,3.0,MEAC,44.62,-5.73096,0
2233,Brandon Gonzalez,4.0,Slnd,32.86,-10.4364,0
2234,Brandon Goode,4.0,MEAC,61.58,2.72884,0
2235,Brandon Goodwin,4.0,ASun,56.14,2.60831,0
2236,Brandon Graham,4.0,SWAC,49.68,-2.24816,0
2237,Brandon Hall,4.0,MAAC,44.03,-2.78425,0
2238,Brandon Harris,4.0,SB,48.16,2.05845,0
2239,Brandon Hatton,1.0,AE,49.81,-1.44363,0
2240,Brandon Hawkins,1.0,BW,33.33,4.01263,0
2241,Brandon Hayes,4.0,MAC,51.28,-7.48655,0
2242,Brandon Hayman,4.0,SC,52.25,-2.16341,0
2243,Brandon Hazzard,4.0,SB,52.29,-2.80084,0
2244,Brandon Herbert,2.0,AE,50.91,0.0896685,0
2245,Brandon Herman,1.0,NEC,38.43,-6.1432,0
2246,Brandon Hobbs,4.0,ind,54.23,-4.15319,0
2247,Brandon Holcomb,4.0,BSth,57.94,-0.4717,0
2248,Brandon Hollinger,4.0,SEC,35.6,-4.34873,0
2249,Brandon Hollins,4.0,BSky,59.73,0.769333,0
2250,Brandon Holtz,4.0,MVC,50.3,-3.0472,0
2251,Brandon Horvath,4.0,AE,54.75,2.21126,0
2252,Brandon Hosely,4.0,MEAC,35.87,-9.49846,0
2253,Brandon Houston,4.0,SWAC,51.81,-7.90896,0
2254,Brandon Huffman,4.0,OVC,59.62,-0.479975,0
2255,Brandon Hutton,3.0,Slnd,38.98,-6.5579,0
2256,Brandon Ingram,1.0,ACC,55.25,6.30806,1
2257,Brandon Jackson,4.0,BSth,48.89,-10.353,0
2258,Brandon James,4.0,Pat,53.05,-2.24729,0
2259,Brandon Jawato,3.0,BW,27.4,-6.02178,0
2260,Brandon Johns Jr.,3.0,B10,61.66,5.27928,0
2261,Brandon Johnson,4.0,WCC,52.82,0.24922,0
2262,Brandon Jordan,3.0,MEAC,54.87,-3.62074,0
2263,Brandon Joseph,1.0,Sum,67.8,-4.68157,0
2264,Brandon Kamga,4.0,BW,54.01,-3.33117,0
2265,Brandon Kenyon,2.0,Horz,48.04,-8.70626,0
2266,Brandon Key,4.0,Sum,51.57,-3.27775,0
2267,Brandon Kimble,3.0,SWAC,48.36,-5.33873,0
2268,Brandon Knapper,3.0,OVC,44.9,-11.2149,0
2269,Brandon Knight,1.0,SEC,55.28,4.48048,1
2270,Brandon Lampley,4.0,MAC,54.34,0.970021,0
2271,Brandon Leftwich,4.0,A10,50.63,-3.41653,0
2272,Brandon Long,4.0,Slnd,46.93,-2.51035,0
2273,Brandon Mahan,4.0,Amer,61.55,4.94823,0
2274,Brandon Martin,3.0,BSth,57.55,2.24225,0
2275,Brandon Maxwell,2.0,Horz,37.69,-7.90639,0
2276,Brandon McCoy,1.0,MWC,59.01,-0.331093,0
2277,Brandon McDonnell,4.0,Ivy,52.79,-3.09925,0
2278,Brandon McGee,4.0,CAA,37.76,-2.46592,0
2279,Brandon McGhee,3.0,WCC,47.62,2.33526,0
2280,Brandon McKissic,4.0,Sum,59.03,2.11313,0
2281,Brandon McPherson,4.0,Horz,63.4,2.28986,0
2282,Brandon McThay,4.0,Slnd,53.31,-0.988211,0
2283,Brandon Miller,4.0,BSth,50.14,-9.35341,0
2284,Brandon Mitchell,3.0,MWC,51.48,-0.932581,0
2285,Brandon Mobley,4.0,BE,52.45,3.56995,0
2286,Brandon Monroe,3.0,MEAC,55.78,0.0723384,0
2287,Brandon Moore,4.0,BSky,44.38,-6.73998,0
2288,Brandon Moore Jr.,4.0,Slnd,57.24,-2.01685,0
